TimeStamp,ECG,PPG
15:36:58,-26025.0,-14298.0,1194.0
15:36:58,-26025.0,-14298.0,1194.0
15:36:58,-25938.0,-14294.0,1204.0
15:36:58,-25938.0,-14294.0,1204.0
15:36:58,-25938.0,-14294.0,1204.0
15:36:58,-25938.0,-14294.0,1204.0
15:36:58,-25918.0,-14290.0,1224.0
15:36:58,-25918.0,-14290.0,1224.0
15:36:58,-25918.0,-14290.0,1224.0
15:36:58,-25918.0,-14290.0,1224.0
15:36:58,-25899.0,-14283.0,1231.0
15:36:58,-25899.0,-14283.0,1231.0
15:36:58,-25899.0,-14283.0,1231.0
15:36:58,-25899.0,-14283.0,1231.0
15:36:58,-25859.0,-14292.0,1233.0
15:36:58,-25859.0,-14292.0,1233.0
15:36:58,-25859.0,-14292.0,1233.0
15:36:58,-25859.0,-14292.0,1233.0
15:36:58,-25916.0,-14289.0,1245.0
15:36:58,-25916.0,-14289.0,1245.0
15:36:58,-25916.0,-14289.0,1245.0
15:36:58,-25916.0,-14289.0,1245.0
15:36:58,-25986.0,-14283.0,1243.0
15:36:58,-25986.0,-14283.0,1243.0
15:36:58,-25986.0,-14283.0,1243.0
15:36:58,-25986.0,-14283.0,1243.0
15:36:58,-25969.0,-14281.0,1263.0
15:36:58,-25969.0,-14281.0,1263.0
15:36:58,-25969.0,-14281.0,1263.0
15:36:58,-25969.0,-14281.0,1263.0
15:36:58,-25915.0,-14282.0,1269.0
15:36:58,-25915.0,-14282.0,1269.0
15:36:58,-25915.0,-14282.0,1269.0
15:36:58,-25915.0,-14282.0,1269.0
15:36:58,-25947.0,-14269.0,1277.0
15:36:58,-25947.0,-14269.0,1277.0
15:36:58,-25947.0,-14269.0,1277.0
15:36:58,-25947.0,-14269.0,1277.0
15:36:58,-25946.0,-14263.0,1297.0
15:36:58,-25946.0,-14263.0,1297.0
15:36:58,-25946.0,-14263.0,1297.0
15:36:58,-25946.0,-14263.0,1297.0
15:36:58,-26233.0,-14259.0,1319.0
15:36:58,-26233.0,-14259.0,1319.0
15:36:58,-26233.0,-14259.0,1319.0
15:36:58,-26233.0,-14259.0,1319.0
15:36:58,-27627.0,-14255.0,1336.0
15:36:58,-27627.0,-14255.0,1336.0
15:36:58,-27627.0,-14255.0,1336.0
15:36:58,-27627.0,-14255.0,1336.0
15:36:58,-25950.0,-14247.0,1348.0
15:36:58,-25950.0,-14247.0,1348.0
15:36:58,-25950.0,-14247.0,1348.0
15:36:58,-25950.0,-14247.0,1348.0
15:36:58,-25915.0,-14246.0,1365.0
15:36:58,-25915.0,-14246.0,1365.0
15:36:58,-25915.0,-14246.0,1365.0
15:36:58,-25915.0,-14246.0,1365.0
15:36:58,-25866.0,-14235.0,1388.0
15:36:58,-25866.0,-14235.0,1388.0
15:36:58,-25866.0,-14235.0,1388.0
15:36:58,-25866.0,-14235.0,1388.0
15:36:58,-25940.0,-14242.0,1392.0
15:36:58,-25940.0,-14242.0,1392.0
15:36:58,-25940.0,-14242.0,1392.0
15:36:58,-25940.0,-14242.0,1392.0
15:36:58,-25941.0,-14230.0,1421.0
15:36:58,-25941.0,-14230.0,1421.0
15:36:58,-25941.0,-14230.0,1421.0
15:36:58,-25941.0,-14230.0,1421.0
15:36:58,-26032.0,-14229.0,1428.0
15:36:58,-26032.0,-14229.0,1428.0
15:36:58,-26032.0,-14229.0,1428.0
15:36:58,-26032.0,-14229.0,1428.0
15:36:58,-26083.0,-14216.0,1442.0
15:36:58,-26083.0,-14216.0,1442.0
15:36:58,-26083.0,-14216.0,1442.0
15:36:58,-26083.0,-14216.0,1442.0
15:36:58,-26177.0,-14215.0,1465.0
15:36:58,-26177.0,-14215.0,1465.0
15:36:58,-26177.0,-14215.0,1465.0
15:36:58,-26177.0,-14215.0,1465.0
15:36:58,-26318.0,-14210.0,1480.0
15:36:58,-26318.0,-14210.0,1480.0
15:36:58,-26318.0,-14210.0,1480.0
15:36:58,-26318.0,-14210.0,1480.0
15:36:58,-26370.0,-14232.0,1399.0
15:36:58,-26370.0,-14232.0,1399.0
15:36:58,-26370.0,-14232.0,1399.0
15:36:58,-26370.0,-14232.0,1399.0
15:36:58,-26485.0,-14267.0,1261.0
15:36:58,-26485.0,-14267.0,1261.0
15:36:58,-26485.0,-14267.0,1261.0
15:36:58,-26485.0,-14267.0,1261.0
15:36:58,-26349.0,-14300.0,1176.0
15:36:58,-26349.0,-14300.0,1176.0
15:36:58,-26349.0,-14300.0,1176.0
15:36:58,-26349.0,-14300.0,1176.0
15:36:58,-26233.0,-14321.0,1123.0
15:36:58,-26233.0,-14321.0,1123.0
15:36:58,-26233.0,-14321.0,1123.0
15:36:58,-26233.0,-14321.0,1123.0
15:36:58,-26095.0,-14332.0,1087.0
15:36:58,-26095.0,-14332.0,1087.0
15:36:58,-26095.0,-14332.0,1087.0
15:36:58,-26095.0,-14332.0,1087.0
15:36:58,-26057.0,-14333.0,1083.0
15:36:58,-26057.0,-14333.0,1083.0
15:36:58,-26057.0,-14333.0,1083.0
15:36:58,-26057.0,-14333.0,1083.0
15:36:58,-25993.0,-14330.0,1084.0
15:36:58,-25993.0,-14330.0,1084.0
15:36:58,-25993.0,-14330.0,1084.0
15:36:58,-25993.0,-14330.0,1084.0
15:36:58,-26043.0,-14337.0,1092.0
15:36:58,-26043.0,-14337.0,1092.0
15:36:58,-26043.0,-14337.0,1092.0
15:36:58,-26043.0,-14337.0,1092.0
15:36:58,-26064.0,-14323.0,1106.0
15:36:58,-26064.0,-14323.0,1106.0
15:36:58,-26064.0,-14323.0,1106.0
